article_title,article_url,feed_name,article_published,trigger_keywords,extracted_firm_name,known_firm,cik,suggested_action
Sompo appoints Martyn Benson as UK Chief Operating Officer,https://www.reinsurancene.ws/sompo-appoints-martyn-benson-as-uk-chief-operating-officer/,Reinsurance News,2026-07-10,"appoints, appointed, chief operating, reinsurance",Martyn Benson,No,,Review for seed list
"Sarah Ruble named SVP, Commercial Strategies at DUAL North America",https://www.reinsurancene.ws/sarah-ruble-named-svp-commercial-strategies-at-dual-north-america/,Reinsurance News,2026-07-10,"president, reinsurance",Sarah Ruble,No,,Review for seed list
Arrow establishes Marine Insurance Practice led by Wayne Krause,https://www.reinsurancene.ws/arrow-establishes-marine-insurance-practice-led-by-wayne-krause/,Reinsurance News,2026-07-10,"MGA, reinsurance",Marine Insurance Practice,No,,Review for seed list
SCOR and Japan Post announce reinsurance vehicle partnership,https://www.reinsurancene.ws/scor-and-japan-post-announce-reinsurance-vehicle-partnership/,Reinsurance News,2026-07-10,"partnership, reinsurance",Japan Post,No,,Review for seed list
ALKEME Insurance expands specialty programme capabilities,https://www.reinsurancene.ws/alkeme-insurance-expands-specialty-programme-capabilities/,Reinsurance News,2026-07-10,"acquisition, MGA, managing general, reinsurance, AI",ALKEME Insurance,No,,Review for seed list
"Lockton names Alberto Ferriolo as Regional Growth Leader, Marine & Transportation, Asia",https://www.reinsurancene.ws/lockton-names-alberto-ferriolo-as-regional-growth-leader-marine-transportation-asia/,Reinsurance News,2026-07-10,"appointed, names, reinsurance",Alberto Ferriolo,No,,Review for seed list
Nebula MGA gains Lloyd’s coverholder status,https://www.reinsurancene.ws/nebula-mga-gains-lloyds-coverholder-status/,Reinsurance News,2026-07-10,"MGA, managing general, reinsurance, AI, expansion",Nebula MGA,No,,Review for seed list
Ankur Sharma named Principal Officer of Echo Re’s India branch,https://www.reinsurancene.ws/ankur-sharma-named-principal-officer-of-echo-res-india-branch/,Reinsurance News,2026-07-10,reinsurance,Ankur Sharma,No,,Review for seed list
"After Apple, India’s smartphone manufacturing boom enters new phase with Vivo JV",https://techcrunch.com/2026/07/09/after-apple-indias-smartphone-manufacturing-boom-enters-new-phase-with-vivo-jv/,TechCrunch,2026-07-10,"joint venture, enters",After Apple,No,,Review for seed list
OpenAI says GPT 5.6 is the ‘preferred model’ for Microsoft Copilot 365 amid breakup chatter,https://techcrunch.com/2026/07/09/openai-says-gpt-5-6-is-the-preferred-model-for-microsoft-copilot-amid-breakup-chatter/,TechCrunch,2026-07-10,AI,Microsoft Copilot,No,,Review for seed list
Illinois Governor Signs AI Regulation Bill That Aims to Mitigate Risks,https://www.insurancejournal.com/news/midwest/2026/07/09/876930.htm,Insurance Journal,2026-07-09,"president, AI, artificial intelligence",Illinois Governor Signs AI Regulation Bill That Aims,No,,Review for seed list
Texas Lawmakers Continue Push to Ban TCH Products,https://www.insurancejournal.com/news/southcentral/2026/07/09/876922.htm,Insurance Journal,2026-07-09,AI,Texas Lawmakers Continue Push,No,,Review for seed list
Brown & Riding Launches National Private Client Practice,https://www.insurancejournal.com/news/southcentral/2026/07/09/876905.htm,Insurance Journal,2026-07-09,"backed by, launches",Riding Launches National Private Client Practice,No,,Review for seed list
People Moves: HDI Global US Names Chief Underwriting Officers,https://www.insurancejournal.com/news/national/2026/07/09/876706.htm,Insurance Journal,2026-07-09,"names, chief underwriting, AI",People Moves,No,,Review for seed list
Boston Joins Suits Against Social Media Giants Alleging Harm to Students,https://www.insurancejournal.com/news/east/2026/07/09/876857.htm,Insurance Journal,2026-07-09,AI,Boston Joins Suits Against Social Media Giants Alleging Harm,No,,Review for seed list
Hormuz Ship Insurance Demand Drops as Owners Get Nervous,https://www.insurancejournal.com/news/international/2026/07/09/876855.htm,Insurance Journal,2026-07-09,AI,Hormuz Ship Insurance Demand Drops,No,,Review for seed list
"Honda’s Insurance Agency Operations Stall, Services ‘Paused’",https://www.insurancejournal.com/news/national/2026/07/09/876827.htm,Insurance Journal,2026-07-09,license,Insurance Agency Operations Stall,No,,Review for seed list
"Viewpoint: Insurance, Cybersecurity Are Twin Pillars of Resilience for iGaming Industry",https://www.insurancejournal.com/news/international/2026/07/09/876802.htm,Insurance Journal,2026-07-09,AI,Cybersecurity Are Twin Pillars,No,,Review for seed list
Amwins and Dragoneer Consortium Reaffirm $5.3B Bid for Australia’s Steadfast,https://www.insurancejournal.com/news/international/2026/07/09/876808.htm,Insurance Journal,2026-07-09,"investment, AI",Dragoneer Consortium Reaffirm,No,,Review for seed list
"Hormuz Ship Traffic Grinds to Near Halt After US, Iran Strikes",https://www.insurancejournal.com/news/international/2026/07/09/876793.htm,Insurance Journal,2026-07-09,AI,Hormuz Ship Traffic Grinds,No,,Review for seed list
UK Water Regulator Finds Severn Trent Breached Wastewater Duties,https://www.insurancejournal.com/news/international/2026/07/09/876703.htm,Insurance Journal,2026-07-09,AI,UK Water Regulator Finds Severn Trent Breached Wastewater Duties,No,,Review for seed list
"Deere Settles Lawsuit by FTC, States Over Equipment Repair Restrictions",https://www.insurancejournal.com/news/national/2026/07/09/876761.htm,Insurance Journal,2026-07-09,AI,Deere Settles Lawsuit,No,,Review for seed list
InsuranceDekho Said to Pick Banks for $400 Million India IPO,https://www.insurancejournal.com/news/international/2026/07/09/876642.htm,Insurance Journal,2026-07-09,"elected, AI",InsuranceDekho Said,No,,Review for seed list
U.S. Forecaster Says El Niño to Strengthen Through Year End,https://www.carriermanagement.com/news/2026/07/09/289869.htm,Carrier Management,2026-07-09,AI,Forecaster Says El,No,,Review for seed list
Former Dallas Cowboys Defensive End Kneeland Autopsy Reveals Early Stage CTE,https://www.carriermanagement.com/news/2026/07/09/289865.htm,Carrier Management,2026-07-09,AI,Former Dallas Cowboys Defensive End Kneeland Autopsy Reveals Early Stage CTE,No,,Review for seed list
"Executives on the Move at AXA XL, Chesapeake, AIG, Aon",https://www.carriermanagement.com/news/2026/07/09/289856.htm,Carrier Management,2026-07-09,"appointed, AI",AXA XL,No,,Review for seed list
"Allianz Unit to Cut as Many as 1,800 Jobs in Push to Adopt AI",https://www.carriermanagement.com/news/2026/07/08/289852.htm,Carrier Management,2026-07-09,"AI, artificial intelligence",Allianz Unit,No,,Review for seed list
Gallagher acquires Med James,https://coverager.com/gallagher-acquires-med-james/,Coverager,2026-07-09,"acquires, MGA, AI",Med James,No,,Review for seed list
"HomeBinder, InspectionGo’s Homeownership Solution, Launches Home Insurance Shopping",https://coverager.com/homebinder-inspectiongos-homeownership-solution-launches-home-insurance-shopping/,Coverager,2026-07-09,launches,Homeownership Solution,No,,Review for seed list
Arch Re promotes Soares and Schriber to CEO roles,https://www.artemis.bm/news/arch-re-promotes-soares-and-schriber-to-ceo-roles/?utm_source=rss&utm_medium=rss&utm_campaign=arch-re-promotes-soares-and-schriber-to-ceo-roles,Artemis,2026-07-09,"chief executive, reinsurance, AI",Arch Re,No,,Review for seed list
"Diversity of reinsurance, cat bond, ILS, aggregate options a strength for insurers: KBRA",https://www.artemis.bm/news/diversity-of-reinsurance-cat-bond-ils-aggregate-options-a-strength-for-insurers-kbra/?utm_source=rss&utm_medium=rss&utm_campaign=diversity-of-reinsurance-cat-bond-ils-aggregate-options-a-strength-for-insurers-kbra,Artemis,2026-07-09,"reinsurance, AI",,No,,Review for seed list
PERILS reduces Windstorm Goretti insured market loss estimate to €468m,https://www.artemis.bm/news/perils-reduces-windstorm-goretti-insured-market-loss-estimate-to-e468m/?utm_source=rss&utm_medium=rss&utm_campaign=perils-reduces-windstorm-goretti-insured-market-loss-estimate-to-e468m,Artemis,2026-07-09,AI,Windstorm Goretti,No,,Review for seed list
Cat bonds loss-free yield still above average despite three year decline: VP Bank,https://www.artemis.bm/news/cat-bonds-loss-free-yield-still-above-average-despite-three-year-decline-vp-bank/?utm_source=rss&utm_medium=rss&utm_campaign=cat-bonds-loss-free-yield-still-above-average-despite-three-year-decline-vp-bank,Artemis,2026-07-09,AI,VP Bank,No,,Review for seed list
ILS portfolios remain focused on resilience despite 2026 hurricane season forecasts: SCOR IP,https://www.artemis.bm/news/ils-portfolios-remain-focused-on-resilience-despite-2026-hurricane-season-forecasts-scor-ip/?utm_source=rss&utm_medium=rss&utm_campaign=ils-portfolios-remain-focused-on-resilience-despite-2026-hurricane-season-forecasts-scor-ip,Artemis,2026-07-09,"investment, AI",SCOR IP,No,,Review for seed list
Fidji Simo steps down from OpenAI’s No. 2 role,https://techcrunch.com/2026/07/09/fidji-simo-steps-down-from-openais-no-2-role/,TechCrunch,2026-07-09,"steps down, AI",Fidji Simo,No,,Review for seed list
OpenAI launches its new family of models with GPT-5.6,https://techcrunch.com/2026/07/09/openai-launches-its-new-family-of-models-with-gpt-5-6/,TechCrunch,2026-07-09,"AI, launches",,No,,Review for seed list
An AI agent startup just let its agent run its $100M fundraise,https://techcrunch.com/2026/07/09/an-ai-agent-startup-just-let-its-agent-run-its-100-million-fundraise/,TechCrunch,2026-07-09,AI,An AI,No,,Review for seed list
"OpenAI is shutting down Atlas, but its AI browser ambitions are still growing",https://techcrunch.com/2026/07/09/openai-is-shutting-down-atlas-but-its-ai-browser-ambitions-are-still-growing/,TechCrunch,2026-07-09,AI,,No,,Review for seed list
"Elon Musk praises Mythos/Fable, promises not to ‘cut off’ Anthropic",https://techcrunch.com/2026/07/09/elon-musk-praises-mythos-fable-promises-not-to-cut-off-anthropic/,TechCrunch,2026-07-09,"raises, AI",Elon Musk,No,,Review for seed list
Can AI answer the $3 trillion question?,https://techcrunch.com/2026/07/09/can-ai-answer-the-3-trillion-question/,TechCrunch,2026-07-09,AI,Can AI,No,,Review for seed list
Meta enters the crowded AI coding battle with Muse Spark 1.1,https://techcrunch.com/2026/07/09/meta-enters-the-crowded-ai-coding-battle-with-muse-spark-1-1/,TechCrunch,2026-07-09,"AI, automation, enters",Muse Spark,No,,Review for seed list
New York Times says OpenAI hid evidence in ChatGPT copyright trial,https://techcrunch.com/2026/07/09/new-york-times-says-openai-hid-evidence-in-chatgpt-copyright-trial/,TechCrunch,2026-07-09,AI,New York Times,No,,Review for seed list
Google will now disclose which ads are made with AI,https://techcrunch.com/2026/07/09/google-will-now-disclose-which-ads-are-made-with-ai/,TechCrunch,2026-07-09,AI,,No,,Review for seed list
"Paris-based AI voice startup Gradium raises $100M seed, backed by Nvidia",https://techcrunch.com/2026/07/09/paris-based-ai-voice-startup-gradium-raises-100m-seed-backed-by-nvidia/,TechCrunch,2026-07-09,"raises, backed by, AI",,No,,Review for seed list
How did the government decide OpenAI’s frontier model was safe to release?,https://techcrunch.com/2026/07/09/how-did-the-government-decide-openais-frontier-model-was-safe-to-release/,TechCrunch,2026-07-09,AI,,No,,Review for seed list
Instagram users: Here’s how to stop Meta’s AI from using your photos,https://techcrunch.com/2026/07/09/how-to-stop-metas-ai-image-generator-from-using-your-instagram-photos/,TechCrunch,2026-07-09,AI,,No,,Review for seed list
Meta’s new AI chips will begin production in September,https://techcrunch.com/2026/07/09/metas-new-ai-chips-will-begin-production-in-september/,TechCrunch,2026-07-09,AI,,No,,Review for seed list
Inside Q2’s top AI market and the biggest rounds behind it,https://www.cbinsights.com/research/newsletter-july-9-2026/,CB Insights Fintech,2026-07-09,"insurtech, AI",,No,,Review for seed list
NYC Orders Pause of Construction on Damaged Midtown Office Tower,https://www.carriermanagement.com/news/2026/07/08/289827.htm,Carrier Management,2026-07-08,AI,NYC Orders Pause,No,,Review for seed list
Judge Approves $46.75M Payout for 23andMe Data Breach Victims,https://www.carriermanagement.com/news/2026/07/08/289824.htm,Carrier Management,2026-07-08,"AI, approved",Judge Approves,No,,Review for seed list
"CSU lowers 2026 Atlantic hurricane forecast further, citing El Niño and wind shear",https://www.artemis.bm/news/csu-lowers-2026-atlantic-hurricane-forecast-further-citing-el-nino-and-wind-shear/?utm_source=rss&utm_medium=rss&utm_campaign=csu-lowers-2026-atlantic-hurricane-forecast-further-citing-el-nino-and-wind-shear,Artemis,2026-07-08,AI,,No,,Review for seed list
Ambassador mutual cat bond and ILW fund nears $900m in assets,https://www.artemis.bm/news/ambassador-mutual-cat-bond-and-ilw-fund-nears-900m-in-assets/?utm_source=rss&utm_medium=rss&utm_campaign=ambassador-mutual-cat-bond-and-ilw-fund-nears-900m-in-assets,Artemis,2026-07-08,AI,,No,,Review for seed list
